id_tim,Kecamatan,Desa/Kelurahan,Blok Sensus,id_prov,id_kab,id_kec,id_kel,id_bs
29,ABIANSEMAL,SIBANG GEDE,015B,51,03,050,002,5103050002015B
29,ABIANSEMAL,SIBANG GEDE,020B,51,03,050,002,5103050002020B
29,ABIANSEMAL,ANGANTAKA,018B,51,03,050,004,5103050004018B
29,ABIANSEMAL,SEDANG,003B,51,03,050,005,5103050005003B
29,ABIANSEMAL,SEDANG,006B,51,03,050,005,5103050005006B
29,ABIANSEMAL,MEKAR BHUANA,001B,51,03,050,007,5103050007001B
30,MENGWI,MENGWITANI,011B,51,03,040,012,5103040012011B
30,MENGWI,MENGWITANI,040B,51,03,040,012,5103040012040B
30,MENGWI,MENGWI,007B,51,03,040,013,5103040013007B
30,MENGWI,PENARUNGAN,009B,51,03,040,015,5103040015009B
30,MENGWI,PENARUNGAN,019B,51,03,040,015,5103040015019B
30,MENGWI,PENARUNGAN,022B,51,03,040,015,5103040015022B
31,ABIANSEMAL,JAGAPATI,005B,51,03,050,003,5103050003005B
31,ABIANSEMAL,DAUH YEH CANI,005B,51,03,050,010,5103050010005B
31,ABIANSEMAL,DAUH YEH CANI,007B,51,03,050,010,5103050010007B
31,ABIANSEMAL,DAUH YEH CANI,013B,51,03,050,010,5103050010013B
31,ABIANSEMAL,AYUNAN,002B,51,03,050,011,5103050011002B
31,ABIANSEMAL,BLAHKIUH,015B,51,03,050,012,5103050012015B
32,ABIANSEMAL,PUNGGUL,008B,51,03,050,013,5103050013008B
32,ABIANSEMAL,BONGKASA,004B,51,03,050,014,5103050014004B
32,ABIANSEMAL,TAMAN,006B,51,03,050,015,5103050015006B
32,ABIANSEMAL,TAMAN,014B,51,03,050,015,5103050015014B
32,ABIANSEMAL,TAMAN,016B,51,03,050,015,5103050015016B
32,ABIANSEMAL,SELAT,001B,51,03,050,016,5103050016001B
33,MENGWI,CEMAGI,010B,51,03,040,001,5103040001010B
33,MENGWI,CEMAGI,011B,51,03,040,001,5103040001011B
33,MENGWI,CEMAGI,013B,51,03,040,001,5103040001013B
33,MENGWI,PERERENAN,014B,51,03,040,003,5103040003014B
34,MENGWI,TUMBAK BAYUH,001B,51,03,040,004,5103040004001B
34,MENGWI,TUMBAK BAYUH,007B,51,03,040,004,5103040004007B
34,MENGWI,BUDUK,004B,51,03,040,005,5103040005004B
34,MENGWI,BUDUK,020B,51,03,040,005,5103040005020B
34,MENGWI,ABIANBASE,009B,51,03,040,006,5103040006009B
34,MENGWI,ABIANBASE,019B,51,03,040,006,5103040006019B
35,MENGWI,ABIANBASE,018B,51,03,040,006,5103040006018B
35,MENGWI,SEMPIDI,002B,51,03,040,007,5103040007002B
35,MENGWI,SADING,003B,51,03,040,008,5103040008003B
35,MENGWI,SADING,008B,51,03,040,008,5103040008008B
35,MENGWI,SADING,015B,51,03,040,008,5103040008015B
35,MENGWI,SADING,017B,51,03,040,008,5103040008017B
36,MENGWI,LUKLUK,021B,51,03,040,009,5103040009021B
36,MENGWI,LUKLUK,025B,51,03,040,009,5103040009025B
36,MENGWI,KAPAL,012B,51,03,040,010,5103040010012B
36,MENGWI,KAPAL,023B,51,03,040,010,5103040010023B
36,MENGWI,KAPAL,026B,51,03,040,010,5103040010026B
36,MENGWI,KEKERAN,010B,51,03,040,011,5103040011010B
37,MENGWI,KEKERAN,013B,51,03,040,011,5103040011013B
37,MENGWI,MENGWITANI,004B,51,03,040,012,5103040012004B
37,MENGWI,BAHA,003B,51,03,040,016,5103040016003B
37,MENGWI,BAHA,005B,51,03,040,016,5103040016005B
38,MENGWI,WERDI BHUWANA,002B,51,03,040,017,5103040017002B
38,MENGWI,WERDI BHUWANA,006B,51,03,040,017,5103040017006B
38,MENGWI,WERDI BHUWANA,012B,51,03,040,017,5103040017012B
38,MENGWI,WERDI BHUWANA,014B,51,03,040,017,5103040017014B
38,MENGWI,WERDI BHUWANA,016B,51,03,040,017,5103040017016B
38,MENGWI,SOBANGAN,004B,51,03,040,018,5103040018004B
39,MENGWI,SOBANGAN,008B,51,03,040,018,5103040018008B
39,MENGWI,SEMBUNG,007B,51,03,040,019,5103040019007B
39,MENGWI,SEMBUNG,013B,51,03,040,019,5103040019013B
39,MENGWI,SEMBUNG,017B,51,03,040,019,5103040019017B
40,ABIANSEMAL,MEKAR BHUANA,008B,51,03,050,007,5103050007008B
40,ABIANSEMAL,MAMBAL,010B,51,03,050,008,5103050008010B
40,ABIANSEMAL,MAMBAL,014B,51,03,050,008,5103050008014B
40,ABIANSEMAL,MAMBAL,016B,51,03,050,008,5103050008016B
40,ABIANSEMAL,JAGAPATI,002B,51,03,050,003,5103050003002B
41,ABIANSEMAL,ABIANSEMAL,011B,51,03,050,009,5103050009011B
