id_tim,Kecamatan,Desa/Kelurahan,Blok Sensus,id_prov,id_kab,id_kec,id_kel,id_bs
16,TEMBUKU,TEMBUKU,004B,51,06,030,002,5106030002004B
16,TEMBUKU,TEMBUKU,006B,51,06,030,002,5106030002006B
16,TEMBUKU,TEMBUKU,008B,51,06,030,002,5106030002008B
16,TEMBUKU,TEMBUKU,010B,51,06,030,002,5106030002010B
16,TEMBUKU,TEMBUKU,011B,51,06,030,002,5106030002011B
16,TEMBUKU,JEHEM,001B,51,06,030,001,5106030001001B
17,TEMBUKU,JEHEM,002B,51,06,030,001,5106030001002B
17,TEMBUKU,JEHEM,003B,51,06,030,001,5106030001003B
17,TEMBUKU,JEHEM,009B,51,06,030,001,5106030001009B
17,TEMBUKU,JEHEM,012B,51,06,030,001,5106030001012B
17,TEMBUKU,JEHEM,015B,51,06,030,001,5106030001015B
17,TEMBUKU,JEHEM,016B,51,06,030,001,5106030001016B
18,TEMBUKU,YANGAPI,005B,51,06,030,003,5106030003005B
18,TEMBUKU,YANGAPI,006B,51,06,030,003,5106030003006B
18,TEMBUKU,YANGAPI,010B,51,06,030,003,5106030003010B
18,TEMBUKU,YANGAPI,016B,51,06,030,003,5106030003016B
18,TEMBUKU,YANGAPI,019B,51,06,030,003,5106030003019B
18,TEMBUKU,UNDISAN,007B,51,06,030,004,5106030004007B
19,BANGLI,BUNUTIN,002B,51,06,020,001,5106020001002B
19,BANGLI,BUNUTIN,004B,51,06,020,001,5106020001004B
19,BANGLI,BUNUTIN,006B,51,06,020,001,5106020001006B
19,BANGLI,TAMAN BALI,002B,51,06,020,002,5106020002002B
19,BANGLI,TAMAN BALI,003B,51,06,020,002,5106020002003B
19,BANGLI,TAMAN BALI,004B,51,06,020,002,5106020002004B
20,BANGLI,TAMAN BALI,006B,51,06,020,002,5106020002006B
20,BANGLI,TAMAN BALI,009B,51,06,020,002,5106020002009B
20,BANGLI,TAMAN BALI,010B,51,06,020,002,5106020002010B
20,BANGLI,BEBALANG,008B,51,06,020,003,5106020003008B
20,BANGLI,BEBALANG,010B,51,06,020,003,5106020003010B
20,BANGLI,BEBALANG,005B,51,06,020,003,5106020003005B
21,BANGLI,PENGOTAN,002B,51,06,020,008,5106020008002B
21,BANGLI,PENGOTAN,004B,51,06,020,008,5106020008004B
21,BANGLI,PENGOTAN,005B,51,06,020,008,5106020008005B
21,BANGLI,PENGOTAN,009B,51,06,020,008,5106020008009B
21,BANGLI,LANDIH,003B,51,06,020,009,5106020009003B
21,BANGLI,LANDIH,005B,51,06,020,009,5106020009005B
22,BANGLI,BEBALANG,002B,51,06,020,003,5106020003002B
22,BANGLI,BEBALANG,003B,51,06,020,003,5106020003003B
22,BANGLI,BEBALANG,004B,51,06,020,003,5106020003004B
22,BANGLI,BEBALANG,011B,51,06,020,003,5106020003011B
22,BANGLI,BEBALANG,013B,51,06,020,003,5106020003013B
22,BANGLI,BEBALANG,015B,51,06,020,003,5106020003015B
23,BANGLI,BEBALANG,016B,51,06,020,003,5106020003016B
23,BANGLI,KAWAN,011B,51,06,020,004,5106020004011B
23,BANGLI,KAWAN,012B,51,06,020,004,5106020004012B
23,BANGLI,KAWAN,014B,51,06,020,004,5106020004014B
23,BANGLI,KAWAN,015B,51,06,020,004,5106020004015B
23,BANGLI,KAWAN,017B,51,06,020,004,5106020004017B
24,BANGLI,KAWAN,029B,51,06,020,004,5106020004029B
24,BANGLI,KAWAN,027B,51,06,020,004,5106020004027B
24,BANGLI,CEMPAGA,005B,51,06,020,005,5106020005005B
24,BANGLI,CEMPAGA,007B,51,06,020,005,5106020005007B
24,BANGLI,CEMPAGA,010B,51,06,020,005,5106020005010B
24,BANGLI,CEMPAGA,013B,51,06,020,005,5106020005013B
25,BANGLI,CEMPAGA,014B,51,06,020,005,5106020005014B
25,BANGLI,CEMPAGA,017B,51,06,020,005,5106020005017B
25,BANGLI,KUBU,001B,51,06,020,006,5106020006001B
25,BANGLI,KUBU,008B,51,06,020,006,5106020006008B
25,BANGLI,KAYUBIHI,009B,51,06,020,007,5106020007009B
25,BANGLI,KAYUBIHI,010B,51,06,020,007,5106020007010B
26,TEMBUKU,UNDISAN,008B,51,06,030,004,5106030004008B
26,TEMBUKU,BANGBANG,003B,51,06,030,005,5106030005003B
26,TEMBUKU,BANGBANG,006B,51,06,030,005,5106030005006B
26,TEMBUKU,BANGBANG,008B,51,06,030,005,5106030005008B
26,TEMBUKU,PENINJOAN,001B,51,06,030,006,5106030006001B
27,BANGLI,KAYUBIHI,003B,51,06,020,007,5106020007003B
27,BANGLI,KAYUBIHI,011B,51,06,020,007,5106020007011B
27,BANGLI,KAYUBIHI,012B,51,06,020,007,5106020007012B
27,BANGLI,KAYUBIHI,013B,51,06,020,007,5106020007013B
28,TEMBUKU,TEMBUKU,002B,51,06,030,002,5106030002002B
