id_tim,Kecamatan,Desa/Kelurahan,Blok Sensus,id_prov,id_kab,id_kec,id_kel,id_bs
42,BULELENG,KALIBUKBUK,002B,51,8,60,1,5108060001002B
42,BULELENG,ANTURAN,004B,51,8,60,2,5108060002004B
42,BULELENG,ANTURAN,010B,51,8,60,2,5108060002010B
42,BULELENG,TUKADMUNGGA,009B,51,8,60,3,5108060003009B
42,BULELENG,TUKADMUNGGA,011B,51,8,60,3,5108060003011B
42,BULELENG,PEMARON,007B,51,8,60,4,5108060004007B
43,GEROKGAK,TINGA TINGA,012B,51,8,10,12,5108010012012B
43,GEROKGAK,CELUKAN BAWANG,001B,51,8,10,13,5108010013001B
43,GEROKGAK,CELUKAN BAWANG,005B,51,8,10,13,5108010013005B
43,GEROKGAK,CELUKAN BAWANG,003B,51,8,10,13,5108010013003B
43,GEROKGAK,TUKAD SUMAGA,014B,51,8,10,14,5108010014014B
43,GEROKGAK,TUKAD SUMAGA,015B,51,8,10,14,5108010014015B
44,SERIRIT,BANJAR ASEM,004B,51,8,20,19,5108020019004B
44,SERIRIT,BANJAR ASEM,008B,51,8,20,19,5108020019008B
44,SERIRIT,KALISADA,003B,51,8,20,20,5108020020003B
44,SERIRIT,PANGKUNGPARUK,012B,51,8,20,21,5108020021012B
44,SERIRIT,PANGKUNGPARUK,015B,51,8,20,21,5108020021015B
44,SERIRIT,PANGKUNGPARUK,017B,51,8,20,21,5108020021017B
45,SERIRIT,RINGDIKIT,002B,51,8,20,8,5108020008002B
45,SERIRIT,JOANYAR,003B,51,8,20,9,5108020009003B
45,SERIRIT,KALIANGET,004B,51,8,20,10,5108020010004B
45,SERIRIT,SULANYAH,002B,51,8,20,12,5108020012002B
45,SERIRIT,BUBUNAN,006B,51,8,20,13,5108020013006B
45,SERIRIT,SERIRIT,007B,51,8,20,14,5108020014007B
46,BULELENG,BAKTISERAGA,015B,51,8,60,5,5108060005015B
46,BULELENG,BANYUASRI,002B,51,8,60,6,5108060006002B
46,BULELENG,PAKET AGUNG,001B,51,8,60,8,5108060008001B
46,BULELENG,PAKET AGUNG,006B,51,8,60,8,5108060008006B
46,BULELENG,KENDRAN,008B,51,8,60,12,5108060012008B
46,BULELENG,BANJAR JAWA,009B,51,8,60,14,5108060014009B
47,BULELENG,KAMPUNG KAJANAN,010B,51,8,60,16,5108060016010B
47,BULELENG,KALIUNTU,016B,51,8,60,17,5108060017016B
47,BULELENG,KAMPUNG ANYAR,011B,51,8,60,18,5108060018011B
47,BULELENG,KAMPUNG ANYAR,013B,51,8,60,18,5108060018013B
47,BULELENG,KAMPUNG BUGIS,013B,51,8,60,19,5108060019013B
47,BULELENG,KAMPUNG BARU,015B,51,8,60,20,5108060020015B
48,GEROKGAK,PEJARAKAN,003B,51,8,10,2,5108010002003B
48,GEROKGAK,PEJARAKAN,013B,51,8,10,2,5108010002013B
48,GEROKGAK,PEJARAKAN,015B,51,8,10,2,5108010002015B
48,GEROKGAK,SUMBERKIMA,014B,51,8,10,3,5108010003014B
48,GEROKGAK,PEMUTERAN,011B,51,8,10,4,5108010004011B
48,GEROKGAK,PEMUTERAN,027B,51,8,10,4,5108010004027B
49,BULELENG,JINENGDALEM,010B,51,8,60,23,5108060023010B
49,BULELENG,PENGLATAN,012B,51,8,60,24,5108060024012B
49,BULELENG,SARI MEKAR,003B,51,8,60,26,5108060026003B
49,BULELENG,ALASANGKER,001B,51,8,60,28,5108060028001B
49,BULELENG,ALASANGKER,016B,51,8,60,28,5108060028016B
49,BULELENG,POH BERGONG,002B,51,8,60,29,5108060029002B
50,BULELENG,BANYUNING,005B,51,8,60,21,5108060021005B
50,BULELENG,BANYUNING,026B,51,8,60,21,5108060021026B
50,BULELENG,BANYUNING,037B,51,8,60,21,5108060021037B
50,BULELENG,BANYUNING,039B,51,8,60,21,5108060021039B
50,BULELENG,PENARUKAN,021B,51,8,60,22,5108060022021B
50,BULELENG,PENARUKAN,036B,51,8,60,22,5108060022036B
51,GEROKGAK,BANYUPOH,008B,51,8,10,5,5108010005008B
51,GEROKGAK,PENYABANGAN,006B,51,8,10,6,5108010006006B
51,GEROKGAK,PENYABANGAN,011B,51,8,10,6,5108010006011B
51,GEROKGAK,SANGGALANGIT,013B,51,8,10,8,5108010008013B
51,GEROKGAK,SANGGALANGIT,005B,51,8,10,8,5108010008005B
51,GEROKGAK,SANGGALANGIT,009B,51,8,10,8,5108010008009B
52,GEROKGAK,GEROKGAK,006B,51,8,10,9,5108010009006B
52,GEROKGAK,GEROKGAK,009B,51,8,10,9,5108010009009B
52,GEROKGAK,PATAS,008B,51,8,10,10,5108010010008B
52,GEROKGAK,PATAS,019B,51,8,10,10,5108010010019B
53,SERIRIT,SERIRIT,014B,51,8,20,14,5108020014014B
53,SERIRIT,PENGASTULAN,007B,51,8,20,15,5108020015007B
53,SERIRIT,PATEMON,020B,51,8,20,16,5108020016020B
53,SERIRIT,PATEMON,024B,51,8,20,16,5108020016024B
53,SERIRIT,LOKAPAKSA,014B,51,8,20,17,5108020017014B
