id_tim,Kecamatan,Desa/Kelurahan,Blok Sensus,id_prov,id_kab,id_kec,id_kel,id_bs
103,SELEMADEG,ANTAP,007B,51,2,10,2,5102010002007B
103,SELEMADEG,BAJERA,004B,51,2,10,4,5102010004004B
103,SELEMADEG,BAJERA,016B,51,2,10,4,5102010004016B
103,SELEMADEG,SELEMADEG,002B,51,2,10,14,5102010014002B
103,SELEMADEG,SELEMADEG,009B,51,2,10,14,5102010014009B
103,SELEMADEG,BAJERA UTARA,004B,51,2,10,26,5102010026004B
104,SELEMADEG,ANTAP,002B,51,2,10,2,5102010002002B
104,SELEMADEG,ANTAP,003B,51,2,10,2,5102010002003B
104,SELEMADEG,BAJERA,009B,51,2,10,4,5102010004009B
104,SELEMADEG,BAJERA,014B,51,2,10,4,5102010004014B
104,SELEMADEG,SELEMADEG,005B,51,2,10,14,5102010014005B
104,SELEMADEG,SELEMADEG,006B,51,2,10,14,5102010014006B
105,TABANAN,BONGAN,009B,51,2,30,2,5102030002009B
105,TABANAN,GUBUG,007B,51,2,30,3,5102030003007B
105,TABANAN,GUBUG,009B,51,2,30,3,5102030003009B
105,TABANAN,DAUH PEKEN,031B,51,2,30,4,5102030004031B
105,TABANAN,DAUH PEKEN,040B,51,2,30,4,5102030004040B
105,TABANAN,DAUH PEKEN,047B,51,2,30,4,5102030004047B
106,TABANAN,DAUH PEKEN,053B,51,2,30,4,5102030004053B
106,TABANAN,DELOD PEKEN,009B,51,2,30,5,5102030005009B
106,TABANAN,DELOD PEKEN,023B,51,2,30,5,5102030005023B
106,TABANAN,DELOD PEKEN,024B,51,2,30,5,5102030005024B
106,TABANAN,DELOD PEKEN,026B,51,2,30,5,5102030005026B
106,TABANAN,DELOD PEKEN,028B,51,2,30,5,5102030005028B
107,TABANAN,DAJAN PEKEN,003B,51,2,30,6,5102030006003B
107,TABANAN,DAJAN PEKEN,006B,51,2,30,6,5102030006006B
107,TABANAN,DAJAN PEKEN,015B,51,2,30,6,5102030006015B
107,TABANAN,DAJAN PEKEN,020B,51,2,30,6,5102030006020B
107,TABANAN,SUBAMIA,003B,51,2,30,7,5102030007003B
107,TABANAN,DENBANTAS,011B,51,2,30,8,5102030008011B
108,TABANAN,DENBANTAS,017B,51,2,30,8,5102030008017B
108,TABANAN,DENBANTAS,018B,51,2,30,8,5102030008018B
108,TABANAN,BUAHAN,004B,51,2,30,9,5102030009004B
108,TABANAN,TUNJUK,006B,51,2,30,10,5102030010006B
108,TABANAN,TUNJUK,011B,51,2,30,10,5102030010011B
108,TABANAN,WANASARI,010B,51,2,30,11,5102030011010B
109,KEDIRI,PANGKUNG TIBAH,001B,51,2,40,1,5102040001001B
109,KEDIRI,BELALANG,003B,51,2,40,2,5102040002003B
109,KEDIRI,BELALANG,008B,51,2,40,2,5102040002008B
109,KEDIRI,BERABAN,010B,51,2,40,2,5102040002010B
109,KEDIRI,BERABAN,020B,51,2,40,2,5102040002020B
109,KEDIRI,CEPAKA,004B,51,2,40,5,5102040005004B
110,KEDIRI,CEPAKA,006B,51,2,40,5,5102040005006B
110,KEDIRI,KABA-KABA,002B,51,2,40,6,5102040006002B
110,KEDIRI,KABA-KABA,009B,51,2,40,6,5102040006009B
110,KEDIRI,PANDAK GEDE,004B,51,2,40,7,5102040007004B
110,KEDIRI,PANDAK GEDE,007B,51,2,40,7,5102040007007B
110,KEDIRI,PANDAK GEDE,016B,51,2,40,7,5102040007016B
111,KEDIRI,BENGKEL,006B,51,2,40,8,5102040008006B
111,KEDIRI,PEJATEN,004B,51,2,40,9,5102040009004B
111,KEDIRI,NYITDAH,003B,51,2,40,10,5102040010003B
111,KEDIRI,NYITDAH,010B,51,2,40,10,5102040010010B
111,KEDIRI,PANDAK BANDUNG,001B,51,2,40,11,5102040011001B
111,KEDIRI,NYAMBU,001B,51,2,40,12,5102040012001B
112,KEDIRI,NYAMBU,004B,51,2,40,12,5102040012004B
112,KEDIRI,KEDIRI,011B,51,2,40,13,5102040013011B
112,KEDIRI,KEDIRI,013B,51,2,40,13,5102040013013B
112,KEDIRI,KEDIRI,015B,51,2,40,13,5102040013015B
112,KEDIRI,KEDIRI,018B,51,2,40,13,5102040013018B
112,KEDIRI,KEDIRI,020B,51,2,40,13,5102040013020B
113,KEDIRI,ABIAN TUWUNG,003B,51,2,40,14,5102040014003B
113,KEDIRI,ABIAN TUWUNG,005B,51,2,40,14,5102040014005B
113,KEDIRI,ABIAN TUWUNG,007B,51,2,40,14,5102040014007B
113,KEDIRI,ABIAN TUWUNG,010B,51,2,40,14,5102040014010B
113,KEDIRI,ABIAN TUWUNG,018B,51,2,40,14,5102040014018B
113,KEDIRI,ABIAN TUWUNG,024B,51,2,40,14,5102040014024B
114,TABANAN,SUDIMARA,007B,51,2,30,1,5102030001007B
114,TABANAN,SUDIMARA,014B,51,2,30,1,5102030001014B
114,TABANAN,SUDIMARA,015B,51,2,30,1,5102030001015B
114,TABANAN,BONGAN,002B,51,2,30,2,5102030002002B
114,TABANAN,BONGAN,003B,51,2,30,2,5102030002003B
